text,label
"Subject: Your Account Has Been Locked
IT Support: Your mailbox has exceeded its storage limit. Click http://paypal-account-verify.support/confirm and log in with your current password to increase your quota immediately or your emails will be deleted.",1
"Subject: Monthly Newsletter - July Edition
Hi Chris, here's the weekly progress report. Overall things are on track, with two minor blockers noted in the doc. Let's discuss in standup tomorrow.",0
"Subject: Action Required: Verify Your Identity Now
Your cloud storage account is almost full. Upgrade now at http://bank-security-check.net/login and enter your login credentials to avoid losing access to your files permanently.",1
"Attention: unusual activity has been detected on your account from a new location. Please act now and confirm it was you at http://bank-security-check.net/login, or your account access will be restricted. Failure to respond will result in.",1
"Subject: Your Flight Itinerary
Hey Maria, quick reminder that the project deliverables are due next Friday. Let me know if you need any help wrapping things up. Cheers, Michael",0
"Hi Priya, attached is your flight itinerary for the trip on the 15th. Departure is at 9:40 AM. Let me know if you need the hotel confirmation as well.",0
"Subject: Weekly Progress Report
Welcome aboard, John! We're excited to have you join the team. Your manager Support Team will reach out shortly to set up your onboarding schedule.",0
"Hi Sam, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Let me know if that doesn't work for you. Thanks, Michael",0
"Hello Chris, your order #8851 has shipped and should arrive within 3-5 business days. You can track it from your account dashboard. Thanks for shopping with us!",0
"We could not verify your recent transaction of $500. To avoid having your card suspended, please log in and confirm your identity at http://secure-update-account.com/verify within 24 hours.",1
This is your final notice. Your account will be closed permanently unless you verify your information within 24 hours: http://appleid-locked-support.com/unlock. Failure to comply may result in legal action. Unusual activity detected.,1
"Hi David, please find attached invoice #6744 for last month's services. Let us know if you have any questions about the charges. Best regards, the Ops team",0
"Hi Sam, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Let me know if that doesn't work for you. Thanks, Support Team",0
"We could not verify your recent transaction of $99. To avoid having your card suspended, please log in and confirm your identity at http://amaz0n-delivery-issue.com/track within 24 hours. Your account will be suspended.",1
"Subject: Urgent: Your Account Will Be Suspended
IT Support: Your mailbox has exceeded its storage limit. Click http://paypal-account-verify.support/confirm and log in with your current password to increase your quota immediately or your emails will be deleted.",1
"Hey Alex, want to grab lunch on Thursday? There's a new place near the office I've been wanting to try. Let me know!",0
"Hi Maria, attached is your flight itinerary for the trip on the 15th. Departure is at 9:40 AM. Let me know if you need the hotel confirmation as well.",0
Your cloud storage account is almost full. Upgrade now at http://appleid-locked-support.com/unlock and enter your login credentials to avoid losing access to your files permanently. Act now.,1
Your package could not be delivered due to an incomplete address. Please confirm your shipping details and pay a small redelivery fee of $99 at http://appleid-locked-support.com/unlock to receive your item. Unusual activity detected.,1
"Subject: Urgent: Your Account Will Be Suspended
Attention: unusual activity has been detected on your account from a new location. Please act now and confirm it was you at http://amaz0n-delivery-issue.com/track, or your account access will be restricted.",1
"Subject: Reminder: Project Deadline Next Friday
Hi Sam, attached is your flight itinerary for the trip on the 15th. Departure is at 9:40 AM. Let me know if you need the hotel confirmation as well.",0
"Hi Chris, please find attached invoice #6742 for last month's services. Let us know if you have any questions about the charges. Best regards, Support Team",0
"Subject: Your Order Has Shipped
Hi Sam, congrats on finishing the certification! Let Support Team know if you'd like to add it to your internal profile.",0
"Subject: Urgent: Your Account Will Be Suspended
Your cloud storage account is almost full. Upgrade now at http://appleid-locked-support.com/unlock and enter your login credentials to avoid losing access to your files permanently. Your account will be suspended.",1
"Dear Customer, we detected suspicious activity on your account. Click the link below within 24 hours to verify your identity or your account will be permanently suspended. http://paypal-account-verify.support/confirm",1
"Subject: Confirm Your Bank Details Immediately
Your package could not be delivered due to an incomplete address. Please confirm your shipping details and pay a small redelivery fee of $250 at http://bank-security-check.net/login to receive your item. Limited time offer.",1
"Subject: You Have Won a Prize! Claim Now
Dear user, our records show your subscription has expired. Renew now at http://secure-update-account.com/verify using your card details to avoid losing access to all your saved files.",1
"Dear Customer, we detected suspicious activity on your account. Click the link below within 24 hours to verify your identity or your account will be permanently suspended. http://secure-update-account.com/verify",1
"We noticed a login attempt from a new device. If this wasn't you, secure your account now by verifying your password at http://bit.ly/3xUrgentVerify. Failure to act within 12 hours will result in account lock.",1
"Congratulations! You have won a $500 cash prize in our monthly giveaway. To claim your reward, simply confirm your details at http://amaz0n-delivery-issue.com/track before the offer expires. Immediate action required.",1
"Subject: Your Order Has Shipped
Hey Maria, quick reminder that the project deliverables are due next Friday. Let me know if you need any help wrapping things up. Cheers, the Ops team",0
"Congratulations! You have been selected to receive a $199 gift card. To claim your prize, please confirm your personal details here: http://secure-update-account.com/verify",1
"Subject: Congratulations! You've Been Selected
Your package could not be delivered due to an incomplete address. Please confirm your shipping details and pay a small redelivery fee of $1000 at http://bit.ly/3xUrgentVerify to receive your item.",1
"Subject: Final Notice: Your Package Could Not Be Delivered
Attention: unusual activity has been detected on your account from a new location. Please act now and confirm it was you at http://paypal-account-verify.support/confirm, or your account access will be restricted.",1
"Subject: Welcome to the Team!
Hi Maria, please find attached invoice #6437 for last month's services. Let us know if you have any questions about the charges. Best regards, the Ops team",0
